                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.0569,                0.91629,                 1.1713,                0.83555,                0.81138,                 0.8758,                 0.6631,                0.95458,                0.70805,                  1.081,             9.3867e-05,             9.3867e-05,             9.3867e-05
                     67,                 1.0507,                0.89825,                  1.163,                0.87006,                0.78723,                0.87368,                0.65826,                0.95611,                0.71403,                 1.0864,             9.3475e-05,             9.3475e-05,             9.3475e-05
                     68,                 1.0476,                   0.89,                 1.1756,                0.84306,                0.81403,                 0.8799,                0.66269,                0.95143,                0.70952,                 1.0837,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     69,                 1.0603,                0.92923,                  1.154,                0.86952,                0.78938,                0.87802,                0.65756,                0.94842,                0.69555,                 1.0793,             9.2689e-05,             9.2689e-05,             9.2689e-05
                     70,                 1.0299,                0.87682,                 1.1572,                0.87472,                0.78609,                0.88001,                0.66264,                0.94076,                0.69005,                 1.0781,             9.2296e-05,             9.2296e-05,             9.2296e-05
                     71,                 1.0667,                0.87347,                 1.1672,                0.85009,                0.80182,                0.88164,                 0.6605,                 0.9383,                0.69268,                 1.0766,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     72,                 1.0265,                0.87044,                 1.1387,                0.82833,                 0.8169,                  0.877,                0.65562,                0.94848,                0.69887,                 1.0778,             9.1511e-05,             9.1511e-05,             9.1511e-05
                     73,                 1.0378,                0.88734,                 1.1723,                0.84825,                0.80689,                0.88545,                0.66295,                0.93933,                0.70001,                 1.0727,             9.1118e-05,             9.1118e-05,             9.1118e-05
                     74,                  1.026,                0.87751,                 1.1607,                 0.8652,                0.81562,                0.88181,                0.67318,                 0.9333,                0.68431,                 1.0687,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     75,                 1.0619,                0.89293,                 1.1605,                0.86452,                0.82808,                0.88597,                 0.6657,                0.93885,                0.68259,                  1.078,             9.0333e-05,             9.0333e-05,             9.0333e-05
                     76,                 1.0239,                0.88259,                 1.1569,                0.85417,                0.81364,                0.88016,                0.66344,                0.93355,                0.67806,                 1.0724,              8.994e-05,              8.994e-05,              8.994e-05
                     77,                   1.05,                0.86207,                 1.1621,                0.89143,                0.81589,                0.89511,                0.66937,                0.92385,                 0.6705,                 1.0687,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     78,                 1.0549,                0.87249,                 1.1329,                 0.8739,                0.81343,                0.88951,                 0.6705,                0.92301,                0.67335,                 1.0659,             8.9155e-05,             8.9155e-05,             8.9155e-05
                     79,                 1.0463,                0.88216,                  1.159,                0.86874,                0.81225,                0.89229,                0.67046,                0.92219,                0.67302,                  1.067,             8.8762e-05,             8.8762e-05,             8.8762e-05
                     80,                 1.0392,                0.87184,                 1.1555,                0.88151,                0.80618,                0.89156,                 0.6668,                0.93292,                 0.6745,                 1.0711,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     81,                  1.029,                0.85508,                 1.1483,                0.89899,                 0.8043,                0.89239,                0.67385,                0.92391,                0.67068,                 1.0664,             8.7977e-05,             8.7977e-05,             8.7977e-05
                     82,                 1.0377,                0.85329,                 1.1486,                0.86455,                0.80528,                0.88476,                0.67234,                0.91134,                0.66279,                  1.061,             8.7584e-05,             8.7584e-05,             8.7584e-05
                     83,                 1.0254,                0.86663,                 1.1399,                0.89601,                0.78548,                0.88277,                0.67036,                0.92104,                0.67082,                 1.0677,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     84,                 1.0114,                0.83182,                 1.1357,                0.87913,                0.78845,                0.88446,                0.67194,                0.91244,                0.67313,                 1.0667,             8.6799e-05,             8.6799e-05,             8.6799e-05
                     85,                 1.0286,                  0.897,                 1.1536,                0.85556,                0.81834,                0.88713,                0.67603,                0.91363,                0.67058,                 1.0627,             8.6406e-05,             8.6406e-05,             8.6406e-05
                     86,                 1.0243,                0.84996,                  1.149,                0.86025,                0.82923,                 0.8865,                0.67632,                0.91383,                0.66458,                 1.0617,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     87,                  0.987,                0.85498,                 1.1447,                0.85953,                0.82739,                0.89234,                0.67964,                0.91355,                0.65925,                  1.071,             8.5621e-05,             8.5621e-05,             8.5621e-05
                     88,                  1.037,                0.86631,                 1.1649,                0.86643,                0.82607,                0.89216,                0.68479,                0.90209,                0.65168,                 1.0627,             8.5228e-05,             8.5228e-05,             8.5228e-05
